timestamp,usercount,instancecount,tootscount
1540108804,1658704,1789,182239700
1540112404,1658765,1789,182255027
1540116001,1658835,1787,182269661
1540119602,1658893,1791,182287176
1540123201,1658916,1791,182292952
1540126801,1659032,1792,182321794
1540130401,1659090,1792,182345374
1540134002,1659156,1792,182366584
1540137601,1659231,1794,182387316
1540141201,1659284,1793,182402527
1540144802,1659360,1793,182414955
1540148402,1659432,1791,182427060
1540152001,1659505,1791,182438634
1540155601,1659588,1793,182442222
1540159202,1659674,1796,182452842
1540162801,1659727,1796,182464405
1540166405,1659809,1795,182477708
1540170005,1659891,1793,182489539
1540173605,1659954,1792,182498423
1540177204,1660008,1791,182510794
1540180805,1660066,1790,182521430
1540184403,1660147,1791,182536498
1540188005,1660214,1791,182548362
1540191605,1660265,1792,182560764
1540195204,1660316,1792,182574049
1540198804,1660359,1794,182585816
1540202404,1660412,1793,182600400
1540206003,1660465,1792,182618528
1540209604,1660503,1792,182636865
1540213204,1660569,1794,182656461
1540216803,1660633,1795,182676045
1540220403,1660712,1795,182698153
1540224005,1660809,1798,182717443
1540227604,1660867,1799,182734972
1540231205,1660939,1798,182749616
1540234805,1661015,1797,182762485
1540238403,1661086,1797,182774984
1540242005,1661161,1796,182786304
1540245603,1661259,1797,182803140
1540249204,1661325,1797,182815896
1540252804,1661397,1794,182828128
1540256405,1661441,1795,182834048
1540260004,1661514,1794,182846227
1540263604,1661588,1795,182858345
1540267205,1661653,1796,182870209
1540270805,1661706,1794,182881388
1540274405,1661775,1793,182893945
1540278004,1661821,1796,182904974
1540281604,1661878,1795,182916538
1540285203,1661940,1796,182930392
1540288805,1661995,1795,182946217
1540292403,1662014,1796,182963693
1540296003,1662063,1795,182977425
1540299605,1662127,1796,182997956
1540303205,1662223,1796,183019538
1540306803,1662287,1795,183041469
1540310404,1662363,1794,183061140
1540314004,1662430,1796,183077970
1540317605,1662501,1796,183091244
1540321201,1662574,1796,183103532
1540324801,1662645,1795,183115390
1540328401,1662702,1795,183126133
1540332002,1662766,1795,183137697
1540335601,1662820,1795,183148661
1540339201,1662898,1796,183162185
1540342802,1662966,1796,183171258
1540346401,1663032,1794,183183642
1540350001,1663081,1793,183196829
1540353601,1663153,1793,183210877
1540357201,1663209,1793,183224871
1540360801,1663265,1794,183235332
1540364401,1663330,1797,183248164
1540368002,1663402,1797,183261409
1540371601,1663452,1795,183263385
1540375201,1663515,1797,183280372
1540378801,1663569,1796,183298404
1540382401,1663619,1796,183316689
1540386001,1663692,1797,183335797
1540389601,1663753,1796,183352515
1540393201,1663825,1798,183373263
1540396801,1663895,1797,183395267
1540400401,1663963,1798,183414301
1540404001,1664042,1797,183429302
1540407601,1664098,1799,183442418
1540411201,1664166,1798,183454108
1540414801,1664225,1796,183465895
1540418401,1664298,1795,183478394
1540422001,1664363,1794,183489338
1540425601,1664426,1795,183503631
1540429201,1664477,1794,183516794
1540432801,1664530,1793,183529288
1540436401,1664587,1793,183539490
1540440002,1664646,1795,183553900
1540443601,1664702,1795,183568464
1540447201,1664745,1793,183580936
1540450802,1664791,1797,183592396
1540454401,1664847,1798,183604389
1540458001,1664896,1798,183619159
1540461601,1664978,1797,183634853
1540465201,1665025,1797,183650970
1540468801,1665066,1797,183667701
1540472401,1665112,1796,183687266
1540476001,1665172,1793,183708604
1540479601,1665241,1794,183732150
1540483201,1665301,1793,183754091
1540486801,1665382,1793,183769617
1540490401,1665451,1792,183772431
1540494001,1665517,1792,183785508
1540497601,1665558,1795,183795681
1540501201,1665616,1793,183806093
1540504801,1665670,1791,183818793
1540508401,1665721,1789,183832032
1540512001,1665763,1788,183844974
1540515601,1665813,1789,183857376
1540519201,1665878,1788,183869238
1540522802,1665952,1788,183857536
1540526401,1666003,1788,183874252
1540530001,1666052,1783,183885837
1540533601,1666099,1785,183898391
1540537201,1666148,1788,183910174
1540540801,1666188,1789,183924241
1540544402,1666235,1791,183938562
1540548001,1666285,1790,183956277
1540551602,1666332,1790,183974856
1540555201,1666381,1789,183993026
1540558801,1666447,1790,184012079
1540562401,1666507,1789,184033540
1540566002,1666578,1789,184054570
1540569602,1666638,1790,184074039
1540573201,1666693,1792,184087926
1540576801,1666765,1790,184103550
1540580402,1666851,1790,184116240
1540584001,1666928,1791,184128495
1540587601,1666993,1791,184140556
1540591201,1667063,1791,184142636
1540594801,1667124,1790,184154841
1540598401,1667182,1789,184167376
1540602001,1667243,1786,184178092
1540605601,1667262,1786,184187122
1540609201,1667333,1787,184201901
1540612801,1667393,1786,184214946
1540616401,1667461,1788,184229631
1540620001,1667359,1788,184222735
1540623602,1667415,1793,184235446
1540627201,1667456,1793,184249140
1540630801,1667522,1793,184263013
1540634401,1667670,1791,184282022
1540638001,1667721,1790,184297522
1540641601,1667780,1790,184313255
1540645202,1667830,1788,184328580
1540648801,1667910,1789,184346801
1540652401,1667964,1791,184366487
1540656001,1668034,1791,184386453
1540659601,1668103,1791,184402605
1540663201,1668166,1792,184417061
1540666801,1668226,1792,184429993
1540670402,1668290,1791,184439903
1540674002,1668361,1791,184449036
1540677601,1668414,1790,184458401
1540681201,1668462,1790,184467196
1540684801,1668521,1789,184478714
1540688402,1668562,1789,184490190
1540692004,1668619,1789,184503252
1540695604,1668679,1788,184516486
1540699203,1668732,1788,184526392
1540702803,1668792,1787,184538897
1540706403,1668849,1788,184551644
1540710005,1668901,1792,184555221
1540713605,1668947,1795,184568353
1540717205,1668787,1794,184331193
1540720804,1668898,1792,184344421
1540724405,1669159,1793,184606762
1540728005,1669223,1794,184624873
1540731604,1669268,1795,184644518
1540735203,1669335,1795,184660200
1540738803,1669394,1793,184679867
1540742405,1669466,1794,184699831
1540746004,1669537,1796,184717440
1540749605,1669599,1796,184731566
1540753203,1669674,1797,184742862
1540756804,1669741,1795,184753065
1540760405,1669825,1792,184763698
1540764004,1669891,1793,184774743
1540767604,1669940,1794,184788323
1540771203,1670002,1794,184801563
1540774804,1670064,1794,184813836
1540778405,1670119,1794,184825825
1540782004,1670167,1794,184837865
1540785603,1670252,1794,184852247
1540789203,1670304,1793,184864143
1540792804,1670351,1793,184874379
1540796404,1670397,1793,184884342
1540800003,1670450,1792,184896411
1540803604,1670450,1792,184896411
1540807205,1670450,1792,184896411
1540810803,1670450,1792,184896411
1540814401,1670450,1792,184896411
1540818001,1670797,1788,184965528
1540821603,1670870,1790,184987853
1540825201,1670971,1791,185011752
1540828802,1671062,1791,185033608
1540832405,1671189,1786,185051034
1540836004,1671286,1787,185063326
1540839603,1671368,1788,185076482
1540843204,1671458,1789,185087330
1540846805,1671552,1791,185097979
1540850404,1671668,1791,185107943
1540854004,1671755,1790,185121844
1540857604,1671846,1789,185137138
1540861205,1671942,1788,185149896
1540864804,1672042,1788,185161075
1540868403,1672152,1786,185173821
1540872005,1672247,1787,185187761
1540875604,1672339,1787,185200164
1540879204,1672415,1787,185210594
1540882805,1672482,1788,185221936
1540886404,1672541,1789,185234072
